v1  v2  v3  v4  l4  v5  l5  k  J   ef  op     Energy        Unc       NumTrans  u/g  Sym
0   0   0   0   0   0   0   0  1   e   ortho  2.353286      0.000000  204       g    sigma_g_plus
0   0   0   0   0   0   0   0  3   e   ortho  14.119512     0.000041  289       g    sigma_g_plus
0   0   0   0   0   0   0   0  5   e   ortho  35.297925     0.000042  306       g    sigma_g_plus
0   0   0   0   0   0   0   0  7   e   ortho  65.887099     0.000043  298       g    sigma_g_plus
0   0   0   0   0   0   0   0  9   e   ortho  105.885007    0.000043  306       g    sigma_g_plus
0   0   0   0   0   0   0   0  11  e   ortho  155.288984    0.000048  306       g    sigma_g_plus
0   0   0   0   0   0   0   0  13  e   ortho  214.095756    0.000044  306       g    sigma_g_plus
0   0   0   0   0   0   0   0  15  e   ortho  282.301439    0.000044  310       g    sigma_g_plus
0   0   0   0   0   0   0   0  17  e   ortho  359.901495    0.000046  294       g    sigma_g_plus
0   0   0   0   0   0   0   0  19  e   ortho  446.890780    0.000051  282       g    sigma_g_plus
0   0   0   0   0   0   0   0  21  e   ortho  543.263523    0.000051  274       g    sigma_g_plus
0   0   0   1   1   0   0   1  1   e   ortho  614.044355    0.000361  98        g    pi_g
0   0   0   1   1   0   0   1  2   f   ortho  618.776955    0.000266  133       g    pi_g
0   0   0   1   1   0   0   1  3   e   ortho  625.797400    0.000204  173       g    pi_g
0   0   0   1   1   0   0   1  4   f   ortho  635.304232    0.000178  175       g    pi_g
0   0   0   1   1   0   0   1  5   e   ortho  646.952037    0.000209  184       g    pi_g
0   0   0   0   0   0   0   0  23  e   ortho  649.013272    0.000066  246       g    sigma_g_plus
0   0   0   1   1   0   0   1  6   f   ortho  661.274126    0.000185  179       g    pi_g
0   0   0   1   1   0   0   1  7   e   ortho  677.506798    0.000224  195       g    pi_g
0   0   0   1   1   0   0   1  8   f   ortho  696.684957    0.000173  187       g    pi_g
0   0   0   1   1   0   0   1  9   e   ortho  717.459668    0.000180  198       g    pi_g
0   0   0   0   0   1   1   1  1   f   ortho  731.516374    0.000341  65        u    pi_u
0   0   0   0   0   1   1   1  2   e   ortho  736.212687    0.000238  137       u    pi_u
0   0   0   1   1   0   0   1  10  f   ortho  741.534492    0.000167  175       g    pi_g
0   0   0   0   0   1   1   1  3   f   ortho  743.327566    0.000228  118       u    pi_u
0   0   0   0   0   1   1   1  4   e   ortho  752.682309    0.000234  149       u    pi_u
0   0   0   0   0   0   0   0  25  e   ortho  764.133142    0.000060  223       g    sigma_g_plus
0   0   0   0   0   1   1   1  5   f   ortho  764.586865    0.000192  127       u    pi_u
0   0   0   1   1   0   0   1  11  e   ortho  766.807859    0.000146  189       g    pi_g
0   0   0   0   0   1   1   1  6   e   ortho  778.561746    0.000226  157       u    pi_u
0   0   0   0   0   1   1   1  7   f   ortho  795.292832    0.000219  141       u    pi_u
0   0   0   1   1   0   0   1  12  f   ortho  795.819405    0.000138  176       g    pi_g
0   0   0   0   0   1   1   1  8   e   ortho  813.849588    0.000193  160       u    pi_u
0   0   0   1   1   0   0   1  13  e   ortho  825.548362    0.000146  185       g    pi_g
0   0   0   0   0   1   1   1  9   f   ortho  835.443307    0.000214  140       u    pi_u
0   0   0   0   0   1   1   1  10  e   ortho  858.543039    0.000200  167       u    pi_u
0   0   0   1   1   0   0   1  14  f   ortho  859.536242    0.000157  187       g    pi_g
0   0   0   0   0   1   1   1  11  f   ortho  885.035568    0.000207  135       u    pi_u
0   0   0   0   0   0   0   0  27  e   ortho  888.615306    0.000066  185       g    sigma_g_plus
0   0   0   1   1   0   0   1  15  e   ortho  893.676810    0.000152  199       g    pi_g
0   0   0   0   0   1   1   1  12  e   ortho  912.639229    0.000159  159       u    pi_u
0   0   0   1   1   0   0   1  16  f   ortho  932.680275    0.000176  177       g    pi_g
0   0   0   0   0   1   1   1  13  f   ortho  944.066291    0.000160  134       u    pi_u
0   0   0   1   1   0   0   1  17  e   ortho  971.189210    0.000177  178       g    pi_g
0   0   0   0   0   1   1   1  14  e   ortho  976.134898    0.000191  159       u    pi_u
0   0   0   0   0   1   1   1  15  f   ortho  1012.531596   0.000237  130       u    pi_u
