v1,v2,v3,J,Ka,Kc,E,unc
0,0,0,1,0,1,12.117019,0.0
0,0,0,1,1,1,20.259000,2.2
0,0,0,1,1,0,22.684323,10.0
0,0,0,2,0,2,35.878019,10.0
0,0,0,2,1,2,42.069307,8.9
0,0,0,2,1,1,49.339396,10.0
0,0,0,3,0,3,70.447526,11.0
0,0,0,2,2,1,73.676393,8.5
0,0,0,2,2,0,74.142008,10.0
0,0,0,3,1,3,74.506238,10.0
0,0,0,3,1,2,88.971353,7.8
0,0,0,3,2,2,110.034042,10.0
0,0,0,3,2,1,112.251548,10.0
0,0,0,4,0,4,114.986527,13.2
0,0,0,4,1,4,117.312061,10.0
0,0,0,4,1,3,141.086946,9.6
0,0,0,3,3,1,156.605447,8.1
0,0,0,3,3,0,156.662859,7.1
0,0,0,4,2,3,158.111009,7.0
0,0,0,4,2,2,164.177707,10.0
0,0,0,5,0,5,169.038540,10.0
0,0,0,5,1,5,170.243008,10.0
0,0,0,5,1,4,204.937589,0.2
0,0,0,4,3,2,205.886271,11.9
0,0,0,4,3,1,206.276516,10.0
0,0,0,5,2,4,217.585508,10.0
0,0,0,5,2,3,229.991946,10.0
0,0,0,6,0,6,232.521774,19.4
0,0,0,6,1,6,233.105773,10.0
0,0,0,5,3,3,267.530474,6.9
0,0,0,5,3,2,269.010109,1.9
0,0,0,4,4,1,269.375266,1.9
0,0,0,4,4,0,269.381165,7.1
0,0,0,6,1,5,279.564709,12.4
0,0,0,6,2,5,288.093808,12.4
0,0,0,7,0,7,305.495007,17.5
0,0,0,7,1,7,305.766855,10.0
0,0,0,6,2,4,309.265132,10.0
0,0,0,5,4,2,331.071837,12.5
0,0,0,5,4,1,331.123557,8.1
0,0,0,6,3,4,341.388766,8.1
0,0,0,6,3,3,345.446755,10.6
0,0,0,7,1,6,364.046801,15.9
0,0,0,7,2,6,369.266145,12.5
0,0,0,8,0,8,388.018720,19.6
0,0,0,8,1,8,388.142196,10.0
0,0,0,7,2,5,401.262364,10.0
0,0,0,6,4,3,405.283348,10.0
0,0,0,6,4,2,405.531699,10.0
0,0,0,5,5,1,411.541561,10.0
0,0,0,5,5,0,411.542119,10.0
0,0,0,7,3,5,427.198703,11.8
0,0,0,7,3,4,436.060189,10.0
0,0,0,8,1,7,457.823014,17.5
0,0,0,8,2,7,460.765573,13.9
0,0,0,9,0,9,480.125056,107.1
0,0,0,9,1,9,480.180358,72.9
0,0,0,6,5,2,485.593909,8.3
0,0,0,6,5,1,485.599834,10.0
0,0,0,7,4,4,492.021593,10.0
0,0,0,7,4,3,492.880369,8.3
