v1 v2 v3 J Ka Kc      E                U           n1     n2       r
   0 0 0 0 0 0         0.0000000000    0.000e+00    284    73       R+
   0 0 0 1 0 1        23.7943612185    2.515e-07    868    91       R+
   0 0 0 1 1 1        37.1371255613    2.865e-07    773    87       R+
   0 0 0 1 1 0        42.3717460991    2.531e-07    769    92       R+
   0 0 0 2 0 2        70.0908160945    2.674e-07   1092    97       R+
   0 0 0 2 1 2        79.4963897031    3.106e-07   1383    92       R+
   0 0 0 2 1 1        95.1759408861    3.106e-07   1025    92       R+
   0 0 0 2 2 1       134.9016439468    2.930e-07   1204    96       R+
   0 0 0 2 2 0       136.1639208504    1.394e-07    997   104       R+
   0 0 0 3 0 3       136.7616626245    2.801e-07   1533   103       R+
   0 0 0 3 1 3       142.2784871860    1.390e-07   1377   105       R+
   0 0 0 3 1 2       173.3658143387    3.374e-07   1535   107       R+
   0 0 0 3 2 2       206.3014271251    2.465e-07   1361    94       R+
   0 0 0 3 2 1       212.1563701942    3.973e-07   1641   104       R+
   0 0 0 4 0 4       222.0527622721    1.669e-07   1402   104       R+
   0 0 0 4 1 4       224.8383890260    3.972e-07   1758   112       R+
   0 0 0 4 1 3       275.4970432115    3.392e-07   1363   102       R+
   0 0 0 3 3 1       285.2193440421    3.032e-07   1064   104       R+
   0 0 0 3 3 0       285.4185801162    3.863e-07   1243    99       R+
   0 0 0 4 2 3       300.3622875227    3.859e-07   1857   107       R+
   0 0 0 4 2 2       315.7795340874    2.372e-07   1462   109       R+
   0 0 0 5 0 5       325.3479080195    4.264e-07   1679   110       R+
   0 0 0 5 1 5       326.6254673517    2.485e-07   1432   111       R+
   0 0 0 4 3 2       382.5168912306    4.559e-07   1690   101       R+
   0 0 0 4 3 1       383.8425152723    3.585e-07   1326    99       R+
   0 0 0 5 1 4       399.4575208628    3.957e-07   1783   106       R+
   0 0 0 5 2 4       416.2087412157    3.305e-07   1544   106       R+
   0 0 0 5 2 3       446.5106737215    3.610e-07   1866   113       R+
   0 0 0 6 0 6       446.6965893012    2.485e-07   1267   103       R+
   0 0 0 6 1 6       447.2523561507    3.610e-07   1663   110       R+
   0 0 0 4 4 1       488.1077072009    4.327e-07   1141   106       R+
   0 0 0 4 4 0       488.1341795358    2.827e-07    873    98       R+
   0 0 0 5 3 3       503.9681038143    3.013e-07   1493   103       R+
   0 0 0 5 3 2       508.8120624419    4.334e-07   1844   106       R+
   0 0 0 6 1 5       542.9057789077    3.652e-07   1332    99       R+
   0 0 0 6 2 5       552.9113953766    5.867e-07   1789   107       R+
   0 0 0 7 0 7       586.2435492126    6.123e-07   1469   108       R+
   0 0 0 7 1 7       586.4791846154    3.057e-07   1145   103       R+
   0 0 0 6 2 4       602.7734947118    3.033e-07   1435   102       R+
   0 0 0 5 4 2       610.1144333950    3.660e-07   1192    96       R+
   0 0 0 5 4 1       610.3411772648    3.867e-07   1533   101       R+
   0 0 0 6 3 4       648.9787017863    4.101e-07   1893   110       R+
   0 0 0 6 3 3       661.5489167203    3.404e-07   1352   101       R+
   0 0 0 7 1 6       704.2140580669    4.724e-07   1631   106       R+
   0 0 0 7 2 6       709.6082203891    5.263e-07   1350   106       R+
   0 0 0 5 5 1       742.0730287240    4.705e-07    687    90       R+
   0 0 0 5 5 0       742.0762967368    4.017e-07    950   102       R+
   0 0 0 8 0 8       744.0636676422    5.184e-07    980    99       R+
   0 0 0 8 1 8       744.1626634502    4.231e-07   1313   109       R+
   0 0 0 6 4 3       756.7247904894    4.019e-07   1594   114       R+
   0 0 0 6 4 2       757.7801918013    4.737e-07   1263   102       R+
   0 0 0 7 2 5       782.4098356983    3.772e-07   1639   107       R+
   0 0 0 7 3 5       816.6942387961    3.298e-07   1295    96       R+
   0 0 0 7 3 4       842.3566009426    4.279e-07   1554   108       R+
   0 0 0 8 1 7       882.8903361328    3.922e-07   1039   101       R+
   0 0 0 8 2 7       885.6002188266    4.175e-07   1495   108       R+
   0 0 0 6 5 2       888.5987504671    4.834e-07   1239   102       R+
   0 0 0 6 5 1       888.6326527993    3.810e-07    871    92       R+
   0 0 0 9 0 9       920.1683544371    3.623e-06   1102   102       R+
   0 0 0 9 1 9       920.2100099093    2.749e-06    813    94       R+
   0 0 0 7 4 4       927.7439048804    4.299e-07   1112   101       R+
   0 0 0 7 4 3       931.2371118939    4.040e-07   1520   109       R+
   0 0 0 8 2 6       982.9117224594    4.484e-07   1042    98       R+
   0 0 0 8 3 6      1006.1159464852    4.548e-07   1495   107       R+
   0 0 0 6 6 1      1045.0579540897    4.537e-07    781   103       R+
   0 0 0 6 6 0      1045.0583468482    4.020e-07    654    88       R+
   0 0 0 8 3 5      1050.1576733794    3.517e-07   1046    99       R+
   0 0 0 7 5 3      1059.6466612732    3.968e-07    892    97       R+
   0 0 0 7 5 2      1059.8354557500    4.535e-07   1244   105       R+
   0 0 0 9 1 8      1079.0795869343    1.478e-06   1223   100       R+
   0 0 0 9 2 8      1080.3854487632    2.027e-06    902    95       R+
   0 0 0 10 0 10    1114.5322527436    2.025e-05    641    95       R+
   0 0 0 10 1 10    1114.5499208166    5.622e-06    907    99       R+
   0 0 0 8 4 5      1122.7085463521    4.255e-07   1371   108       R+
   0 0 0 8 4 4      1131.7755787656    4.513e-07    970    95       R+
   0 0 0 9 2 7      1201.9215071626    2.060e-06   1189   101       R+
   0 0 0 7 6 2      1216.1897723136    4.463e-07    716    93       R+
   0 0 0 7 6 1      1216.1945145810    5.819e-07    957   100       R+
   0 0 0 9 3 7      1216.2312651456    3.412e-06    920    95       R+
   0 0 0 8 5 4      1255.1667581971    4.782e-07   1131   100       R+
   0 0 0 8 5 3      1255.9115507341    4.105e-07    849    97       R+
   0 0 0 9 3 6      1282.9191203580    4.849e-07   1136   106       R+
   0 0 0 10 1 9     1293.0181445405    4.309e-07    715    95       R+
   0 0 0 10 2 9     1293.6340555883    4.844e-07    997    96       R+
   0 0 0 11 0 11    1327.1099983227    2.131e-06    747   100       R+
   0 0 0 11 1 11    1327.1176072900    1.985e-05    492    87       R+
   0 0 0 9 4 6      1340.8848799231    3.014e-06    764    91       R+
   0 0 0 9 4 5      1360.2353425845    3.031e-06   1078    99       R+
   0 0 0 7 7 1      1394.8141675358    4.427e-07    507    76       R+
   0 0 0 7 7 0      1394.8142139088    6.352e-07    604    98       R+
   0 0 0 8 6 3      1411.6114502627    6.648e-07    928    98       R+
   0 0 0 8 6 2      1411.6418991755    5.022e-07    661    92       R+
   0 0 0 10 2 8     1437.9685899907    4.656e-06    709    90       R+
   0 0 0 10 3 8     1446.1282503095    5.691e-07   1016    96       R+
   0 0 0 9 5 5      1474.9807874060    2.594e-06    697    91       R+
   0 0 0 9 5 4      1477.2973795518    5.659e-07    917    97       R+
   0 0 0 11 1 10    1524.8478997517    3.577e-06    798    96       R+
   0 0 0 11 2 10    1525.1359949646    5.647e-06    517    86       R+
   0 0 0 10 3 7     1538.1494814480    5.499e-06    606    84       R+
   0 0 0 12 0 12    1557.8443750915    7.904e-05    449    84       R-
   0 0 0 12 1 12    1557.8477326540    2.627e-05    575    90       R-
   0 0 0 10 4 7     1581.3359908564    3.052e-06    933    97       R+
   0 0 0 8 7 2      1590.6900678730    6.715e-07    668    91       R+
   0 0 0 8 7 1      1590.6907131894    4.847e-07    575    81       R+
   0 1 0 0 0 0      1594.7461765159    2.160e-05     58    36       R+
   0 0 0 10 4 6     1616.4530582331    6.122e-06    562    80       R+
   0 1 0 1 0 1      1618.5570305511    1.188e-05    245    60       R+
   0 0 0 9 6 4      1631.2454856183    2.816e-06    524    80       R+
   0 0 0 9 6 3      1631.3830289276    2.248e-06    764    91       R+
   0 1 0 1 1 1      1634.9669702713    2.024e-05    178    54       R+
   0 1 0 1 1 0      1640.5057559731    1.183e-05    230    62       R+
   0 1 0 2 0 2      1664.9644597879    1.981e-05    234    60       R+
   0 1 0 2 1 2      1677.0613554386    1.184e-05    371    63       R+
   0 0 0 11 2 9     1690.6643925091    5.600e-06    784    95       R+
   0 1 0 2 1 1      1693.6498245813    2.104e-05    239    54       R+
   0 0 0 11 3 9     1695.0686213481    7.836e-06    523    77       R+
   0 0 0 10 5 6     1718.7188243232    5.011e-06    756    91       R+
   0 0 0 10 5 5     1724.7054004738    6.630e-06    536    82       R+
   0 1 0 3 0 3      1731.8965952482    1.282e-05    381    65       R+
   0 1 0 3 1 3      1739.4835868151    1.962e-05    279    54       R+
   0 1 0 2 2 1      1742.3055517250    1.166e-05    310    67       R+
   0 1 0 2 2 0      1743.4862194879    2.117e-05    226    56       R+
   0 1 0 3 1 2      1772.4133612868    1.195e-05    380    68       R+
   0 0 0 12 1 11    1774.6162782575    1.547e-05    434    79       R+
   0 0 0 12 2 11    1774.7511112638    7.578e-06    587    86       R+
   0 0 0 8 8 1      1789.0428423018    5.193e-06    341    73       R+
   0 0 0 8 8 0      1789.0428461786    8.323e-06    316    61       R+
   0 0 0 13 0 13    1806.6700215951    1.991e-05    446    83       R-
   0 0 0 13 1 13    1806.6715319930    4.994e-05    325    69       R+
   0 0 0 9 7 3      1810.5832854314    8.255e-06    448    74       R+
   0 0 0 9 7 2      1810.5879372262    4.625e-06    605    86       R+
   0 0 0 11 3 8     1813.2234136124    7.060e-06    678    91       R+
   0 1 0 3 2 2      1813.7874742905    1.963e-05    301    55       R+
   0 1 0 4 0 4      1817.4510670565    1.960e-05    268    54       R+
   0 1 0 3 2 1      1819.3350165487    1.177e-05    416    64       R+
   0 1 0 4 1 4      1821.5967135968    1.147e-05    420    65       R+
   0 0 0 11 4 8     1843.0296287927    7.331e-06    468    77       R+
   0 0 0 10 6 5     1874.9729912934    4.842e-06    604    86       R+
   0 0 0 10 6 4     1875.4618258737    6.780e-06    418    73       R+
   0 1 0 4 1 3      1875.4695896459    1.950e-05    284    56       R+
   0 0 0 11 4 7     1899.0081808760    7.430e-06    596    84       R+
   0 1 0 3 3 1      1907.4512911419    1.815e-05    200    54       R+
   0 1 0 3 3 0      1907.6156673060    1.205e-05    278    67       R+
   0 1 0 4 2 3      1908.0162378575    1.190e-05    446    67       R+
   0 1 0 5 0 5      1920.7664408737    1.686e-05    384    59       R+
   0 1 0 5 1 5      1922.8289454037    1.749e-05    297    57       R+
   0 1 0 4 2 2      1922.9009946955    1.819e-05    281    58       R+
   0 0 0 12 2 10    1960.2074185566    7.626e-06    416    74       R+
   0 0 0 12 3 10    1962.5069164787    7.896e-06    608    90       R+
   0 0 0 11 5 7     1985.7848994622    6.992e-06    434    74       R+
   0 0 0 11 5 6     1998.9953233755    6.737e-06    549    81       R+
   0 1 0 5 1 4      2000.8629291705    1.666e-05    410    63       R+
   0 1 0 4 3 2      2004.8155901816    1.707e-05    391    67       R+
   0 1 0 4 3 1      2005.9169179803    1.922e-05    252    52       R+
